ID,추석까지 남은 기간(주),쇼핑몰 구분,가격(원),프로모션 여부,도시 유형,지역 유형,쇼핑몰 유형,선물 유형,수요량
TRAIN_0000,1,쇼핑몰 15,212000,0,도시 6,지역 1,쇼핑몰 유형 2,명절혼합과일선물세트,28
TRAIN_0001,2,쇼핑몰 72,113000,0,도시 21,지역 1,쇼핑몰 유형 1,발효홍삼선물세트,27
TRAIN_0002,0,쇼핑몰 15,67000,0,도시 6,지역 1,쇼핑몰 유형 2,실속스팸선물세트,769
TRAIN_0003,1,쇼핑몰 13,206000,0,도시 12,지역 3,쇼핑몰 유형 1,자연산프리미엄버섯선물세트,27
TRAIN_0004,1,쇼핑몰 65,140000,0,도시 16,지역 2,쇼핑몰 유형 2,자연산새우선물세트,337
TRAIN_0005,2,쇼핑몰 26,335000,0,도시 6,지역 1,쇼핑몰 유형 1,자연산생송이버섯선물세트,53
TRAIN_0006,2,쇼핑몰 20,113000,0,도시 18,지역 6,쇼핑몰 유형 1,리본포장홍삼선물세트,13
TRAIN_0007,2,쇼핑몰 53,334000,0,도시 16,지역 1,쇼핑몰 유형 3,최고급송이버섯선물세트,418
TRAIN_0008,2,쇼핑몰 73,214000,0,도시 16,지역 8,쇼핑몰 유형 1,프리미엄한과선물세트,107
TRAIN_0009,1,쇼핑몰 18,42000,0,도시 16,지역 5,쇼핑몰 유형 1,특선스팸선물세트,68
TRAIN_0010,1,쇼핑몰 51,73000,0,도시 6,지역 1,쇼핑몰 유형 1,건강담은견과류선물세트,216
TRAIN_0011,2,쇼핑몰 52,335000,0,도시 16,지역 1,쇼핑몰 유형 2,최고급송이버섯선물세트,203
TRAIN_0012,2,쇼핑몰 56,225000,0,도시 16,지역 4,쇼핑몰 유형 1,프리미엄한과선물세트,81
TRAIN_0013,0,쇼핑몰 17,68000,1,도시 15,지역 3,쇼핑몰 유형 1,최적의선택스팸선물세트,809
TRAIN_0014,0,쇼핑몰 76,141000,0,도시 16,지역 1,쇼핑몰 유형 1,명품반건시곶감선물세트,486
TRAIN_0015,2,쇼핑몰 66,111000,0,도시 16,지역 1,쇼핑몰 유형 2,특별한선택스팸선물세트,379
TRAIN_0016,0,쇼핑몰 9,137000,0,도시 9,지역 4,쇼핑몰 유형 1,손질새우선물세트,242
TRAIN_0017,0,쇼핑몰 7,330000,0,도시 7,지역 1,쇼핑몰 유형 1,프리미엄한우선물세트,69
TRAIN_0018,1,쇼핑몰 64,112000,0,도시 6,지역 1,쇼핑몰 유형 3,리본포장홍삼선물세트,40
TRAIN_0019,0,쇼핑몰 38,67000,0,도시 16,지역 1,쇼핑몰 유형 2,실속형견과류선물세트,203
TRAIN_0020,1,쇼핑몰 37,68000,0,도시 16,지역 3,쇼핑몰 유형 1,특선스페셜스팸선물세트,54
TRAIN_0021,2,쇼핑몰 5,135000,0,도시 5,지역 4,쇼핑몰 유형 1,프리미엄고당도샤인머스캣선물세트,351
TRAIN_0022,2,쇼핑몰 69,224000,0,도시 5,지역 4,쇼핑몰 유형 2,고급한과선물세트,135
TRAIN_0023,2,쇼핑몰 64,143000,0,도시 6,지역 1,쇼핑몰 유형 3,감동스팸선물세트,163
TRAIN_0024,2,쇼핑몰 59,113000,0,도시 2,지역 2,쇼핑몰 유형 1,명품샤인머스캣선물세트,501
TRAIN_0025,0,쇼핑몰 39,224000,0,도시 24,지역 1,쇼핑몰 유형 1,고급한과선물세트,54
TRAIN_0026,2,쇼핑몰 10,41000,0,도시 10,지역 4,쇼핑몰 유형 1,행복스팸선물세트,229
TRAIN_0027,0,쇼핑몰 11,132000,0,도시 5,지역 4,쇼핑몰 유형 3,프리미엄왕곶감선물세트,419
TRAIN_0028,0,쇼핑몰 55,142000,0,도시 5,지역 4,쇼핑몰 유형 2,최고의선택스팸선물세트,54
TRAIN_0029,0,쇼핑몰 33,69000,0,도시 16,지역 2,쇼핑몰 유형 1,특선스페셜스팸선물세트,15
TRAIN_0030,0,쇼핑몰 33,165000,0,도시 16,지역 2,쇼핑몰 유형 1,프리미엄종합스팸선물세트,81
TRAIN_0031,2,쇼핑몰 14,212000,0,도시 13,지역 1,쇼핑몰 유형 1,종합과일선물세트,14
TRAIN_0032,2,쇼핑몰 9,112000,0,도시 9,지역 4,쇼핑몰 유형 1,유기농올리브유선물세트,68
TRAIN_0033,0,쇼핑몰 19,73000,1,도시 17,지역 1,쇼핑몰 유형 3,알찬스팸선물세트,622
TRAIN_0034,0,쇼핑몰 3,159000,0,도시 3,지역 1,쇼핑몰 유형 1,프리미엄종합스팸선물세트,95
TRAIN_0035,2,쇼핑몰 2,335000,0,도시 2,지역 2,쇼핑몰 유형 3,자연산생송이버섯선물세트,55
TRAIN_0036,0,쇼핑몰 60,221000,1,도시 16,지역 1,쇼핑몰 유형 1,유기농송이버섯선물세트,405
TRAIN_0037,0,쇼핑몰 55,70000,1,도시 5,지역 4,쇼핑몰 유형 2,알찬스팸선물세트,177
TRAIN_0038,2,쇼핑몰 71,131000,0,도시 16,지역 3,쇼핑몰 유형 1,재래김특선세트,136
TRAIN_0039,0,쇼핑몰 37,340000,0,도시 16,지역 3,쇼핑몰 유형 1,명품한우선물세트,69
TRAIN_0040,1,쇼핑몰 64,320000,0,도시 6,지역 1,쇼핑몰 유형 3,명품한우선물세트,121
TRAIN_0041,2,쇼핑몰 62,151000,0,도시 16,지역 3,쇼핑몰 유형 3,프리미엄고당도샤인머스캣선물세트,257
TRAIN_0042,1,쇼핑몰 77,131000,0,도시 16,지역 3,쇼핑몰 유형 1,명품맛김선물세트,352
TRAIN_0043,2,쇼핑몰 43,211000,0,도시 5,지역 4,쇼핑몰 유형 1,명절혼합과일선물세트,15
TRAIN_0044,2,쇼핑몰 13,85000,0,도시 12,지역 3,쇼핑몰 유형 1,특별한선택스팸선물세트,53
TRAIN_0045,1,쇼핑몰 14,277000,0,도시 13,지역 1,쇼핑몰 유형 1,보리굴비프리미엄선물세트,82
TRAIN_0046,0,쇼핑몰 7,136000,0,도시 7,지역 1,쇼핑몰 유형 1,재래김특선세트,53
TRAIN_0047,2,쇼핑몰 73,151000,0,도시 16,지역 8,쇼핑몰 유형 1,프리미엄특선스팸선물세트,1039
TRAIN_0048,2,쇼핑몰 51,320000,0,도시 6,지역 1,쇼핑몰 유형 1,명품한우선물세트,13
TRAIN_0049,2,쇼핑몰 7,113000,0,도시 7,지역 1,쇼핑몰 유형 1,리본포장홍삼선물세트,15
TRAIN_0050,0,쇼핑몰 47,113000,0,도시 1,지역 1,쇼핑몰 유형 1,프리미엄올리브유선물세트,54
TRAIN_0051,1,쇼핑몰 75,112000,0,도시 16,지역 4,쇼핑몰 유형 3,유기농올리브유선물세트,188
TRAIN_0052,1,쇼핑몰 54,73000,0,도시 16,지역 1,쇼핑몰 유형 1,실속형견과류선물세트,80
TRAIN_0053,1,쇼핑몰 50,121000,0,도시 16,지역 3,쇼핑몰 유형 1,자연산새우선물세트,486
TRAIN_0054,1,쇼핑몰 13,42000,0,도시 12,지역 3,쇼핑몰 유형 1,행복스팸선물세트,203
TRAIN_0055,0,쇼핑몰 59,164000,0,도시 2,지역 2,쇼핑몰 유형 1,최고의선택스팸선물세트,95
TRAIN_0056,0,쇼핑몰 60,187000,0,도시 16,지역 1,쇼핑몰 유형 1,프리미엄특선스팸선물세트,82
TRAIN_0057,1,쇼핑몰 17,151000,0,도시 15,지역 3,쇼핑몰 유형 1,프리미엄특선스팸선물세트,189
TRAIN_0058,1,쇼핑몰 46,220000,1,도시 16,지역 3,쇼핑몰 유형 1,자연산생송이버섯선물세트,311
TRAIN_0059,1,쇼핑몰 13,112000,0,도시 12,지역 3,쇼핑몰 유형 1,특별한선택스팸선물세트,54
TRAIN_0060,1,쇼핑몰 46,211000,0,도시 16,지역 3,쇼핑몰 유형 1,종합과일선물세트,42
TRAIN_0061,1,쇼핑몰 31,124000,0,도시 16,지역 3,쇼핑몰 유형 3,자연산새우선물세트,824
TRAIN_0062,1,쇼핑몰 62,132000,0,도시 16,지역 3,쇼핑몰 유형 3,재래김특선세트,284
TRAIN_0063,1,쇼핑몰 58,136000,0,도시 16,지역 1,쇼핑몰 유형 1,명품반건시곶감선물세트,392
TRAIN_0064,1,쇼핑몰 40,146000,0,도시 6,지역 1,쇼핑몰 유형 1,고당도샤인머스캣선물세트,458
TRAIN_0065,0,쇼핑몰 47,224000,0,도시 1,지역 1,쇼핑몰 유형 1,프리미엄한과선물세트,55
TRAIN_0066,2,쇼핑몰 50,224000,0,도시 16,지역 3,쇼핑몰 유형 1,프리미엄한과선물세트,80
TRAIN_0067,1,쇼핑몰 63,70000,0,도시 16,지역 3,쇼핑몰 유형 2,알찬스팸선물세트,149
